Sold Price,Beds,Baths,Floors,Garage Spaces,Lot Size (sq ft),Home Size (sq ft),Year Built,School Score Avg,Walk Score,Transit Score,Bike Score,Laundry,Heating,Air Conditioning,Pool,Address,City,County,Zip Code,Property Type,Sold Status,URL
2514000,5,2.0,2,1,5771.700000000001,1750,1949,7.666666666666667,12,28,62,True,True,False,True,111 DUNSMUIR WAY,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/111-Dunsmuir-Way-94025/home/1685686
1925000,3,2.0,1,1,5776.056,1370,1956,nan,nan,nan,nan,True,True,True,True,675 10TH AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/675-Tenth-Ave-94025/home/1709863
5100000,4,4.0,1,2,10306.296,3073,1925,8.0,54,39,77,True,True,True,True,1280 LINCOLN AVE,PALO ALTO,SANTA CLARA COUNTY,94301,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Palo-Alto/1280-Lincoln-Ave-94301/home/1715098
2935000,3,2.0,1,2,6507.8640000000005,1590,1949,7.666666666666667,54,41,86,True,True,False,False,335 TRENTON WAY,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/335-Trenton-Way-94025/home/1718292
2957000,3,2.0,1,2,10349.856,1610,1940,7.666666666666667,67,37,90,True,True,True,False,279 WILLOW RD,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/279-Willow-Rd-94025/home/1735877
4400000,5,4.5,1,1,8751.204,2970,1939,7.666666666666667,74,38,84,True,True,True,False,407 LAUREL AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/407-Laurel-Ave-94025/home/1742478
5400000,3,3.0,1,2,5898.023999999999,2055,2014,8.0,67,39,85,True,True,True,False,324 ARBOR RD,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/324-Arbor-Rd-94025/home/1743030
5700000,5,4.5,2,2,8799.12,3480,2014,nan,nan,nan,nan,True,True,True,True,2270 CAMINO A LOS CERROS,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/2270-Cno-A-Los-Cerros-94025/home/1743141
5050000,5,3.0,1,2,22755.744,2300,1954,8.0,78,42,87,True,True,True,False,1035 VALPARAISO AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/1035-Valparaiso-Ave-94025/home/1754009
4300000,3,2.5,1,3,11935.44,2190,1967,8.0,26,27,69,True,True,True,True,1400 MIDDLE AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/1400-Middle-Ave-94025/home/1754060
